en,zh
That guy sure is looking haughty. He wants a beat down or something?,條友個樣串串貢咁，係咪摟打啊?
I don't know what kind of food I want, you can decide for me.,我唔知食咩好，你揸主意啦。
I go to tea house sometimes.,我間唔時都會飲吓茶㗎。
My grandpa practises Chinese calligraphy every day.,爺爺日日都會練寫大字。
Drink more water in summer helps replenish the great water loss from our body.,夏天要飲多啲水，補充返身體流失嘅水分。
Keep walking ahead, turn right at the traffic lights, and walk 100 metres more to get there.,一直向前行，燈位轉右行多一百米就到。
We can only bow to fate and pay higher tunnel tolls.,隧道加價都要行㗎，我地硬食。
She left us a lot of amazing architectural design.,佢留低咗好多令人歎為觀止嘅建築設計。
You say I'm a fool? I say you're an idiot.,你話我蠢才，我夠話你白癡咯。
All the people attending this meeting are important people.,呢個會個個出席親都係大人物嚟㗎。
You always say that you want to help him, while your hidden agenda is just to take advantage of him.,你成日話想幫佢，講白咗都係想攞佢著數啫。
I have to go to the airport to see my friend off.,我要去機場送朋友機。
If you do this again, I won't talk to you anymore!,你再試係噉呢，我就唔睬你！
As he did not manage to pay the bail, he had to spend a whole night in the detention cell.,佢因為無保釋金，於是成晚就喺臭格度過。
I won't forget this incident for my whole life.,呢件事我畢生難忘呀。
There are many shopping malls in Wong Tai Sin.,黃大仙有好多個商場。
They have met before. There's no need to introduce them to each other.,佢哋之前見過，唔使互相介紹喇。
I had been insomniac for recent nights, so I had to try listening to some lullaby.,我呢幾晚都瞓唔着，唯有試下聽下啲催眠曲。
That ship is so lucky that having survived the terrifying, rough sea, it finally arrived at its destination.,架船經歷過驚濤駭浪之後依然可以抵達目的地，真係好彩。
This piece of article interviewed and written by a senior reporter is well received.,呢篇係由資深記者採訪撰述，迴響幾好。
They often chat with other members in their group. Indeed they're familiar with one another.,佢哋圍內傾開偈，係熟啲㗎喇。
Wow, you are dressed up so well. Where are you hanging out?,嘩，你著到鬼火咁靚，去邊度wet呀？
He vehemently denies the allegation of the crash.,佢死口唔認係自己揸車撞到人。
If he is determined to lose money, just let him.,佢要輸錢，咪由得佢囉。
Putting the agreement in writing will protect everyone's rights.,白紙黑字寫清楚協議內容，可以保障大家嘅權利。
George Soros is one of the most ruthless player in the stock market.,索羅斯係其中一個最出名嘅大鱷。
You see I'm both fat and short, it's impossible for me to join the Miss Hong Kong competition.,你睇我又肥又矮，選港姐我實冇行。
He went so far as to lift his shirt and display the wound on his stomach.,佢甚至𢲡起件衫，展示佢肚上面嘅傷口。
This handbag costs $3000. It was so expensive.,呢個手袋要三千蚊，好貴啊。
He is a crybaby. No one can handle him.,佢成日喺度喊苦喊忽，冇人搞得佢掂。
I will visit the Giant Buddha in Lantau Island.,我諗住去大嶼山睇天壇大佛。
Guys, just make yourselves at home, and eat as much as you like.,你哋唔使同我客氣，盡情食啦。
He hires many graduates.,佢起用大量嘅畢業生。
An entire stack of assignments for me to finish, aw!,成疊assignment等緊我啊，唉。
It is really romantic to enjoy the neon vista of Victoria Harbour from the Peak.,從山頂遠眺維港景色，係特別浪漫嘅。
I'm crossing my fingers for his/her safe return.,我求神拜佛都望佢平平安安返嚟。
I donated so old clothes to the charity.,我捐咗啲舊衫俾慈善機構。
How could this young man cheat the elderly out of their pensions? Shame on him!,呢個年輕人竟然欺騙老人嘅養老金，真係冇廉恥啊！
This bus didn't stop either. Screw that.,妖，呢部巴士又飛埋站。
I am happiest on the weekends because I don't have to go to work.,周末係最開心嘅日子，因為唔使返工。
Put some stuff on that eczema spot.,笪濕疹揾嘢搽吓佢啦。
It's the parents' responsibility to supervise their children.,父母應該監督子女嘅行為。
My phone doesn't support this app.,呢個app我部電話唔支援㗎。
These egg tarts are yummy. Everyone would like them.,啲蛋撻咁好食，男女老少都鍾意啦。
You can gently plug the CPU into the socket.,你可以將粒CPU輕輕力拮落個插座度。
A-chung babbled something about knowing necromancy. I knew he's bullshitting from the start!,阿松佢話乜鬼嘢識通靈，我一聽就知佢講緊鬼話！
I've travelled to many different places, and at the end of the day this is the most beautiful place.,我去過好多地方旅行，始終都係覺得呢度最靚。
The office was so silent that I nearly dozed off at my desk.,公司靜到我爭啲喺張枱度瞌眼瞓。
You should use a ring saw to saw a hole before cabling.,你要用令梳開個窿先可以穿電線㗎。
If I knew that we need to wait for the whole morning before the competition starts, I would not have gone there!,今日個比賽原來去到要齋坐成朝先開始，早知我就唔去啦！
His untidy appearance has deeply impressed the audience.,佢蓬頭垢面嘅形象深入人心。
He was caught laundering money, I am afraid he should start preparing himself for some time behind the bar.,佢俾人捉到洗黑錢，睇怕都係要洗定蘿柚。
My son got into this secondary school through a ballot draw.,我個仔攪珠入咗呢間中學。
Sometimes, you can see the traces of a city's development just by looking at the names of the places.,有時你睇下啲地名都可以見到啲城市發展嘅痕跡。
The secretary has an excellent reputation among the public, and a high ability to call for response.,呢個司長民望好高，好有號召力。
Today's topic: Should high school students date?,今日嘅議題係：中學生應否談戀愛？
She speaks English very well.,佢講一口流利嘅英語。
This is no laughing matter, find something else to make fun of!,呢樣野唔講得笑㗎，講笑揾第樣！
When she smiles, all her wrinkles appear.,佢一笑，啲皺紋就現晒出嚟。
You chatter all the time today, has any good thing happened?,你今日成隻開籠雀噉，有好事發生咗呀？
It's just drizzling, it's still plausible to play basketball.,落毛毛雨啫，都打得波𠺝。
The suspect was of ethnic Chinese, and spoke fluent Putonghua.,疑犯為中國籍男子，操流利普通話。
Who sent you the message? You care so much that you reply so soon.,邊個揾你啊？緊張到秒回嘅。
This is a student of mine that I care most.,呢個係我最錫嘅學生。
The deadline to pay the money back is 20th March.,還款期限係3月20號。
He will take these ideas all together into consideration.,佢會將呢幾個構思一併考慮。
It is a doctor's duty to show loving care for their patients.,關懷病人係醫生嘅職責。
It's Lunar New Year. Let's buy a peach tree!,新年流流就梗係要買返樖桃花啦！
It's not my fault to lose, it's the lag. Blame my computer.,唔係lag機我一定唔會輸囉，死垃圾電腦。
Everyone plays various roles in their daily lives.,每個人喺日常生活都扮演住唔同嘅角色。
Does this firm have a retail store? I wanna try the products there before deciding to buy them or not.,呢間公司有冇門市㗎？我想落去試吓先決定買唔買。
I still mean nothing in her heart.,我喺佢心目中仲係無咩分量。
I get happiness from eating a lot.,我喺怒食之中揾到快樂。
What dirty tricks are you playing this time?,你今次又想使乜嘢陰招？
It's so late! Why is he still not back yet? I truly hope nothing has happened to him.,點解佢咁晏都未返㗎，千祈唔好有事啊！
Dekisugi is a talented student in Doraemon.,出木杉係多啦A夢入面嘅高材生。
After factories moved north, the manufacturing industry started to decline.,工廠北移之後，製造業開始式微。
The OST album of the film is on sale now.,電影原聲大碟現已有售。
I lend you the money just this once, it should not be taken as a precedent.,我淨係呢一次借錢俾你㗎咋，下不為例㗎。
Turtle-rail is slow, and frequently breaks down too.,龜鐵真係好慢，仲要成日壞車。
There are rumours that the Chinese government intervened in the stock market. Shanghai Composite Index bounced to above 2000 points in the afternoon trading period.,市傳阿爺下令出手托市，上證指數中午過後回升至二千點樓上。
You have applied nail polish onto the edges! Use the nail polish remover to wash it off!,你油指甲油到出晒界，用啲洗甲水洗走佢啦！
This washing machine has a maximum rpm of 1000.,部洗衣機最高1000轉。
As this year's Chung Yeung festival falls on a Sunday, there will be a deferred holiday on Monday.,今年嘅重陽節係星期日，所以星期一係補假。
This article, in terms of the standard of scholarly history, is not rigorous.,呢篇文章喺史學上嚟講並唔嚴謹。
He is hoping that his children will look after him after graduating from university.,佢期待啲仔女大學畢業之後，可以養返自己。
Thanks to his impressive voice, he has became a popular figure online.,憑藉傲人嘅歌喉，佢成為咗網絡紅星。
Do you want to watch a blue film with me?,今晚有無興趣一齊睇吓小電影呢？嘻嘻。
Water can actually be divided into soft and hard water.,水其實都有軟硬之分。
He wants to buy a burial ground in this graveyard.,佢希望喺呢個墓園買一塊墓地。
Well, be careful of what you play out. She has almost all bamboo tiles. If you're  not careful, you may discard the losing tile!,喂，咪亂打呀！佢成手索子，你唔小心就會出沖㗎嚹。
A: "Whatever problem there is we can talk about it."  B:"Talk your mother!",甲：「有咩嘢唔妥，咪慢慢講囉！」 乙：「講你老母！」
It is no use pestering me all the time. I don't have money to lend you.,你成日冤住我都冇用𠿪，我冇錢借畀你呀。
She is the suspect of the murder.,佢喺呢件謀殺案有嫌疑。
You haven't connected to the Internet, how can you upload?,你都未連上網，點上載啊？
You have done such a great job, A-OK!,你做嘢做得咁好，真係冧巴温，冇得彈。
Catchwater adventure can risk your life anytime. Never ever give it a try.,地龍探險隨時冇命，千祈咪試。
Your hand is wet. Don't touch me.,你隻手好濕，唔好掂我。
Only residents are allowed in the clubhouse.,住户先可以用呢度嘅會所。
After I finished using him, I will sell him out.,等我利用完佢就一鑊翹起佢。
There is no right or wrong in this matter. It's just that everyone has their own standpoint and they see the problem from different angles.,呢件事冇對錯之分，只係大家立場唔同，睇問題嘅角度亦都唔同。
These pirates do not keep any survivor when they kill.,呢班海盜殺人唔留活口。
Can you throw the newspaper to me?,可唔可以掟份報紙俾我？
Good friends should help each other.,好朋友應該互相幫助。
He defeats his rival with a single punch.,佢一拳就打巢咗個情敵。
That feeling is just beyond compare.,嗰種感覺真係無與倫比。
Plato recognised that four elements: earth, air, fire, and water, composite all matters.,柏拉圖認為所有物質都由火、水、土、氣四種元素組成。
A: Can I use your washroom? B: As you please.,甲：「可唔可以借你個洗手間用呀？」乙：「請便。」
This cup of coffee smells very strong.,呢杯咖啡陣味好濃郁。
Babies don't distinguish between day and night. When they want to eat, they eat, and when they want to sleep, they sleep.,啤啤仔晝夜不分，想食就食，想瞓就瞓。
You need to do a bleach-and-dye if you want to dye your hair pink.,染粉紅色頭要用漂染喎。
I haven't been on a romantic date with my husband for a long time.,我好耐冇試過同老公拍拖喇。
It's just a tabloid, why would you expect them to have journalistic ethics?,八卦雜誌嚟㗎喎，你點會期望佢有報格呢？
With poor language skills, how can one explain such complex mathematical and philosophical theories clearly and elegantly?,語文唔叻，又點可以將咁複雜嘅數學、哲學理論，解釋到清清楚楚又不失典雅？
Everyone knows that smoking leads to cancer.,食煙會致癌係人所共知嘅事實。
All you got is boring lectures, no wonder why people are not interested in your words.,你成日淨係講耶穌，人哋梗係唔鍾意聽你講嘢啦。
Your scrotum would be burned in hell if you disturbed an ongoing sexual intercourse.,阻人扑野死咗會俾人燒春袋。
A-chung received a complaint which said that his lewd behaviours make the women around him uncomfortable.,阿松收到個投訴，話佢嘅猥瑣行為令到佢周圍嘅女士覺得不安。
This football player terminated his contract with one club and would become a free agent again.,呢位球員同球會解約，恢復自由身。
I am refreshed after a face wash.,洗個面成個人醒神晒。
Burglars can probably tell the house is unattended by the piles of letters in the letterbox.,信箱積存大量郵件，可能會令賊人知道單位冇人喺度。
A cold drink is 3 dollars extra, this restaurant is just ripping its people off.,凍飲要加三蚊，呢間餐廳都揾笨嘅。
The mayor turned our town into a mess during his term of office.,市長佢喺任內搞到我哋嘅城市亂七八糟。
The city's wealthiest person announced his retirement when reaching a great age of 90 finally.,城中首富近九十歲高齡先宣佈退休。
He didn't love me at all, it was just wishful thinking.,佢根本冇鍾意過我，只係我一廂情願。
I will be sent to the branch in Thailand in the coming half year.,我下半年被安排去泰國分部。
Glutinous rice in lotus leaf is lotus leaf wrapped sticky rice with chicken, in a smaller size.,珍珠雞即係迷你版嘅糯米雞。
Can you be reasonable?,你可唔可以講下道理？
I often mix up Kwai Hing and Kwai Fong.,我成日搞錯葵興同葵芳。
Everyone except you has submitted their drafts.,啲稿個個都搞掂晒喇，爭你未交咋。
Just google it, don't ask others all the time.,你google下啦，唔好乜都問人。
He's so snobbish, how would he make friends with us poor people?,佢咁勢利，點會同我哋呢啲窮人做朋友啊！
They quarrel for trivial things all the time.,佢哋成日為咗啲瑣事嗌交。
Sleep now. Don't be a night-owl.,快啲瞓覺，唔好做夜貓。
These napkins are really expensive; it's so wasteful you use them to wipe the floor!,呢啲餐巾好貴㗎，你用嚟抹地咁大嘥㗎！
I won $320 in the Mark Six lottery.,今次六合彩我贏咗320蚊。
Be careful of that person, he might just want to pretend and to steal stuff from your home.,你小心啲佢呀，條友可能詐假意想嚟偷你屋企啲嘢㗎咋。
[ChatGPT]This air conditioner also has a dehumidifying function, and the dehumidifying effect is pretty good.,呢部機冷氣同抽濕功能兼備，抽濕效果都唔錯㗎。
After hearing his words for some time, I think the deal is a fake.,聽咗咁耐，我覺得呢單生意係流嘢嚟嘅。
Every page of the book is full of new words. How can I read it?,本書頁頁都咁多生詞，點睇呀？
The old school building is going to be torn down over the summer holidays. Come take some pictures with me before the break.,舊校舍暑假就拆喇，放假之前陪我過去影下相啦。
Their company hopes to balance the books as soon as possible through cost-cutting and revenue generation.,佢哋間公司希望透過開源節流，盡快達致收支平衡。
A primary school requires an annual tuition fee of $6000.,有間小學一年收成六千蚊堂費。
The temperature is dropping. If you must go out, please avoid prolonged exposure to wintry winds.,温度下降，如必須外出，應避免長時間置身喺寒風中。
The alley is too narrow that I can only walk through by turning my body to one side.,條巷窄到我要打側身先過到。
If you go to Megabox from the MTR station, you need take a shuttle bus ride.,由地鐵站去Ｍegabox，要搭一程穿梭巴士。
This makeshift wet market has been running for ten years, and there are no plans to close it.,呢個臨時街市已經開咗成十年，仲未有計劃拆。
The poet's passion has affected all of his readers.,詩人嘅激情感染每一位讀者。
I even can't understand the question.,我連條題目都睇唔明。
How lucky you are to barely pass the examination!,噉都畀你過到骨，考試合到格，你真係好彩。
Life is long, we would come across a dick or two anyway.,成世人流流長，總會遇上幾個人渣。
You should expedite that trip to Britain to take advantage of the low value of the pound.,要趁英磅紙水低，衝去英倫旅行。
Don’t go out after you catch the flu. It is better to rest at home.,你感冒，就要留喺屋企休息，唔好出去喇。
He did not mean to insult you, he is just simple-minded.,佢唔係有心得罪你，佢只係個人比較戇直啫。
The computer is made of poor quality components. It stops working after just one year of usage.,部電腦個餡好曳，用一年就壞。
Extra staff were deployed last night at the Lok Ma Chau and Huanggang checkpoints.,尋晚落馬州同皇崗口岸都加派咗人手。
Sigh, I'm really in need of money recently, I even have to pawn my watch.,唉，呢排窮到燶，搞都要攞隻錶去舉。
You're dumb! Why didn't you ask for deposit before ordering the goods for the customer?,你都戇居嘅！做咩唔收訂金先幫個客訂貨啊？
What my teacher taught me has been etched firmly into my mind.,老師嘅教導我一直銘記於心。
Please enjoy the dishes on the table.,枱上嘅食物請大家隨便享用。
This person changes jobs a bit too often, are you sure you want to hire him?,呢個人有啲jumpy喎，你確定想請佢？
Vampires on TV aren't really scary.,電視度啲疆屍唔係好得人驚啫。
He got his personal porn collection deleted by his girlfriend. That's why he is venting his anger.,佢啲珍藏A片畀女朋友del曬，所以咪屌曬鬼囉。
Aren't the girls on the stage cute enough?,台上面啲妹妹唔夠可愛咩？
I looked around everywhere but I still couldn't find him.,我周圍望都唔覺眼揾到佢喎。
You can lose weight by having many meals and eating less.,少食多餐可以幫你減到肥。
I am really helpless that I don't have an umbrella when it's raining hard!,落大雨冇帶遮，真係好狼狽！
This job is too hard to do, I'll quit next month!,份工好惡做，下個月 唔撈！
My darling is the best looking man. I feel sorry for you he is not yours.,我個打令呢，真係好有型架唧，你恨唔到㗎喇。
Public housing rent rise adds to the heavy burden of the grassroots.,公屋加租，令基層生活百上加斤。
I'm seasick from the bumpy boat ride.,架船咁𠺘，我有啲暈。
His sacrifice will not be in vain!,佢嘅犧牲係唔會白費嘅！
Lithuania, Estonia and Latvia are collectively known as the Baltic States.,立陶宛、愛沙尼亞、拉脱維亞被統稱為波羅的海三國。
Builders didn't receive their salary, so they protested.,建築工人因為收唔到人工，所以示威。
He gives off a gentlemanly air.,佢畀人有好gentleman嘅感覺。
The scale of the Gunpla is 1:144.,個高達模型嘅比例係一比一百四十四。
Ming's son has only few books to read but he never feels bored.,阿明個仔睇嚟睇去都係嗰幾本書，樂此不疲。
The over-harvesting of sea turtle eggs can lead to the extinction of sea turtle.,過度採捕海龜蛋可以導致到海龜絕種。
The definition of this word is unclear.,呢個字嘅定義好唔清晰。
He was born without lymph glands, therefore he gets sick easily.,佢天生冇咗淋巴腺，所以成日病。
The stockpile of medications is not sufficient for the epidemic outbreak.,積存嘅藥物唔夠應付疫情。
I help you wholeheartedly, why do you treat me like that?,我全心全意幫你，你竟然噉對我？
I copied his essay for you to read.,我cop咗佢段嘢俾你睇。
The government ordered that all illegal immigrants be deported.,政府下令將所有非法移民遞解出境。
Scientists are investigating how to make people live longer.,科學家研究緊令人長壽啲嘅方法。
So many disappeared without a trace around here recently. I wonder if there's a serial killer out there.,近排咁多人喺依頭人間蒸發，會唔會係有連環殺手呀？
past exam paper,past paper
He hit the red button out of curiosity.,佢貪得意撳咗個紅色掣。
It's better to have a skill than a thousand pieces of gold.,家有千金，不如一技傍身。
Stop it. Don't you dare look down on me.,你唔好恰我，咪當我契弟！
I'll fight you with my life!,我拚咗條老命都要同你死過！
Don't come to this damned place anymore—it's full of garbage.,咪再嚟呢個鬼地方喇，成地垃圾。
It's this vermin again! Not again!,又係呢條煩膠！咪搞啊！
She is too soft and is often bullied by others.,佢個人好腍，成日俾人蝦。
They are negotiating the value of this transaction.,佢哋喺度交涉緊交易嘅金額。
Why do you hold an umbrella when there is no rain? It's ridiculous.,明明冇落雨擔乜嘢遮啫，真係荒唐。
Give them a few pieces of paper to draw. Don't let them draw on the wall and mess it up.,畀幾張紙佢哋畫啦，唔好畀佢哋畫花埲牆啊。
Just hang up, it's another phone scam.,扱佢線啦，又係啲呃錢電話嚟。
He grew up in the orphanage, knowing nothing about his own background.,佢喺孤兒院長大，對自己嘅身世一無所知。
I actually find his ideas quite convincing.,其實我幾buy佢講嘅嘢。
These melon seeds taste really good. Where did you get them?,啲瓜子好好食喎，邊度買㗎？
The epidemic is getting worse; it is hard to find a bottle of handrub in the market.,疫情越嚟越嚴峻，市面上嘅搓手液真係一支難求。
[ChatGPT]It's really unfair for you to be asked to be a clerk after getting a PhD.,你讀完博士要你做文員，真係委屈咗你喇。
I'm sorry for bothering you for so long. I'm going now.,唔好意思，阻咗你咁耐，我走喇。
What? Don't you get it? He's obviously implying something to you.,吓，你咁都唔明？佢擺到明係講説話你聽啦。
To him, I think his career is more important than me.,對佢嚟講，我諗佢嘅事業重緊要過我。
She tried to seduce me, but I won't be fooled.,佢試圖色誘我，但係我唔會上當。
You can have the final say. I will follow your lead.,你話事啦。我睇你頭。
In the beginning of the reform of Cantonese opera, Sit Kok-sin introduced Western musical instruments including the violin.,喺粵劇改革之初，薛覺先率先引入梵啞鈴等西樂樂器。
Let's go! Otherwise, we will be late.,行喇！唔係就遲到㗎喇！
Stop littering, you litterbug.,咪亂抌垃圾啦你條垃圾蟲。
The rectangle is 5 cm wide.,長方形嘅闊係五釐米。
Please make an appointment at the nurse station for a follow-up check-up.,你去護士站約期覆診吖。
Those bananas are so unripe, they are not ripe yet.,嗰啲蕉咁生，都未熟。
A-fung writes calligraphy and draws Chinese paintings with an ink brush well.,阿峯擅長用毛筆寫書法同畫中國畫。
Let me put some money in your pocket: Trustworthy is the most important virtue.,等我點醒你啦，做人最緊要係守信用。
The police officer arrested the wrong guy and was given admonition.,個警察拉錯人，結果畀上級訓示。
The girl was just joking. She didn't mean any harm.,妹妹仔同你玩啫，佢冇惡意㗎。
Shit! How did he get promoted? He does not deserve that position at all.,挑！佢都有得升？真係水鬼升城隍囉。
Taking the money for now and replacing it with the exact amount later should probably not arouse any suspicion.,宜家攞住啲錢先，遲吓先填數應該冇人發覺嘅。
The sun is so bright today, remember to apply some sun cream when you go out.,今日日頭咁猛，出街記得搽返啲太陽油。
Can I own a car without any driving license?,冇車牌可唔可以做車主㗎？
You broke your promise. How can you blame me for not forgiving you?,係你失信在先，你竟然掉轉頭鬧我唔包容你？
The identical twin brothers look so much alike. It is very hard to tell them apart.,呢對孖仔真係一模一樣樣，好難分。
Don't just stand there, come and help me out.,唔好成嚿飯咁，幫下我手啦。
It is said that many years ago there was a castle here.,話説喺好多年前，呢度有一座古堡。
Have you ever had chickenpox before? It's really itchy.,你有冇試過生水痘？真係好痕㗎。
Professional athletes often tear their ligaments.,專業運動員成日斷韌帶。
The clog is lodged, we need to find someone to dislodge it.,條渠塞咗，要揾人嚟通渠。
You don't even know how to do it; you're just being a hindrance and causing trouble for others.,你又唔識整，喺度掗手掗腳，搞亂檔。
After becoming a member, we will offer you a one-month extra service, and it is free before the trial period expires.,登記做會員就送一個月額外服務畀你，試用期結束前都唔使錢。
My car is broken down. I am sending it to the garage for repair.,架車壞咗，要拎去車房度整嘞。
After the renovation, the building returns to its original state finally.,經過修復，間大屋終於恢復原貌。
I feel so cold. I've been frozen!,好凍呀，我凍到變雪條喇。
Doesn't he control his mind? Or is he going too wild?,佢未食藥？定係食錯藥啊？
The quick-handed person ended up cutting their own hand, great!,快刀手就切損手，好嘢！
She often seems to be angry with the entire world that she's so bitch-faced.,佢成日都西口西面，好似嬲咗全世界咁。
Fire! Cut the ropes quickly or the fire will spread to the other ships!,火勢咁猛，再唔斬纜就火燒連環船㗎喇！
Youths are the pillars of our society in the future.,年青人係社會未來嘅棟樑。
The discipline teacher carries a megaphone with her every morning.,訓導老師朝朝都拎住個大聲公落操場。
The bill has died prematurely due to overwhelming opposition from citizens.,條法案太多市民反對，最終難產。
That girl has fair skin; she is quite pretty.,嗰個女仔皮膚白皙，好靚。
You as children should not meddle in parents' affairs.,父母嘅事唔到你哋做仔女嘅干涉。
After Beyond disbanded, many fans wanted them to have a reunion show.,Beyond拆夥之後，好多fans都希望佢哋可以復合演出。
You should not spoil your kids.,你唔應該放縱你嘅小朋友。
Nowadays, how can we take their unacceptable service?,今時今日噉嘅服務態度係唔夠嘅。
The autumn air is cooler and fresher, and not as humid as summer.,秋天嘅空氣比較清爽，冇夏天咁潮濕。
A car incident occurred when we were having a phone conversation.,我同佢通話期間發生咗車禍。
They have many people, it is tough to beat them. Go ask the others to come and help immediately!,對方咁多人，我哋唔夠揪㗎。你哋快啲班馬嚟幫拖！
Pluto was downgraded to a dwarf planet.,冥王星降格為矮行星。
There is nothing you can do if he doesn't admit it.,佢係都唔認，你都吹佢唔漲㗎。
His skill is still immature and has to be nurtured for some more time under his master's teaching.,佢學藝未精，仲要跟師傅浸多排。
Granny kept some money under the bed.,婆婆收埋咗啲錢喺牀下底。
Poon choi is often served during religious rituals, festivals, wedding banquets in walled villages.,圍村人通常喜慶嘅日子就會食盆菜。
This film has been well received by Hongkongers.,呢部電影深受港人歡迎。
This is a short circuit, because there is no resistor.,嗰條電路冇電阻，所以short咗。
I forget to bring my key again!,我又唔記得帶條匙嘞！
I saw a good looking girl last night when I was out for a drink, so I asked for her number.,噚晚去飲嘢見到有個女仔幾靚，抄咗佢牌。
During the flight, the pilot must keep in touch with the ground control.,機師喺飛行途中，必須要同地面控制室保持聯繫。
Do you know who he is?,你知唔知道佢係邊個？
I only have a rough idea about this topic and still need to learn more.,我對呢個主題只係略知一二，仲需要學習。
Miss Lok sincerely asks Myolie and Kate to come back to the company to help.,樂小姐情商莫莉同凱特重回公司幫手。
The judge said to the witness, "please answer the question.",法官話：「證人，請你回答問題。」
The government has adopted a series of measures to lower the unemployment rate.,政府採取咗一系列措施以減低失業率。
The date, time and venue for the forum are set out below.,論壇嘅日期、時間及地點羅列如下。
A demerit will be given if you have been late for school for three times.,遲到三次會記一個小過。
It doesn't look like a dog at all. What are you drawing?,睇落完全唔似一隻狗喎。你畫緊啲乜?
My home address is 7 Nathan Road.,我屋企地址係彌敦道7號。
Please open the box for me.,唔該幫我將個盒打開吖。
50 cents will be charged for each plastic bag.,膠袋一個要收五毫喎。
The spread of this influenza is under control.,今次流感嘅傳播得到咗控制。
Japan has a huge amount of stunning temples in Kyoto.,日本京都有好多好靚嘅寺院建築。
Nobody knows what role his father played in his childhood.,冇人知道佢老豆響佢個仔嘅童年扮演咩角色。
Small groups are often seen studying the Bible on the sixth floor.,周不時喺六樓見到啲小組查經。
You don't need to help me. I can do it myself.,唔使幫我喇，我自己做得嚟。
Survey this plot of land.,測量一下呢一帶嘅地形。
Students who study abroad usually have good English.,留學生嘅英文通常都唔錯。
As you'll be going for a trip during the summer vacation, let dad subsidise you one thousand dollars.,你暑假去旅行，爸爸津貼你一千蚊喇！
The pork belly is fried to be so crispy.,五花肉層皮煎得好脆。
Selected Chinese Orchestral Works By Hong Kong Composers,香港作曲家當代中樂作品選輯
We don't get along very smoothly, but we never overstep each other's bottom line.,我哋之間唔算相處得好舒服，只係大家都唔踩大家條界。
I am more powerful than him even I am a girl.,even我係女仔都大力過佢。
Remember to prepare your self-introduction before the interview.,面試之前，記住要準備自我介紹。
How dare he wear flip-flops to a job interview.,見工都夠膽死着人字拖。
The banquet starts at eight tonight, don't be late!,今晚八點開席，你唔好遲到啊！
